id Declarator,"ФИО депутата, автора законопроекта","Количество законопроектов, внесенных депутатом в указанный период","Количество внесенных законопроектов, подписанных президентом","Процент успешных законопроектов, %",Сумма дней прохождения всех законопроектов,Среднее количество дней прохождения законопроекта депутата-автора,Примечания,Служебное
244,Журова Светлана Сергеевна,1,0,"0,00%",0,0,,
586,Завальный Павел Николаевич,0,0,"0,00%",0,0,,
31990,Земцов Николай Георгиевич,1,0,"0,00%",0,0,,
31991,Зиннуров Ирек Хайдарович,0,0,"0,00%",0,0,,
1855,Зобнев Виктор Викторович,1,0,"0,00%",0,0,,
246,Зубарев Виктор Владиславович,1,0,"0,00%",0,0,,
14416,Иванов Максим Анатольевич,7,0,"0,00%",0,0,,
412,Иванов Николай Николаевич,22,0,"0,00%",0,0,,
15744,Игнатов Виктор Александрович,0,0,"0,00%",0,0,,
267,Игошин Игорь Николаевич,8,0,"0,00%",0,0,,
540,Ильтяков Александр Владимирович,0,0,"0,00%",0,0,,
14418,Ионин Дмитрий Александрович,20,0,"0,00%",0,0,,
17352,Кавинов Артем Александрович,3,0,"0,00%",0,0,,
130,Казаков Виктор Алексеевич,2,0,"0,00%",0,0,,
13519,Казанков Сергей Иванович,18,0,"0,00%",0,0,,
31759,Каличенко Андрей Владимирович,0,0,"0,00%",0,0,,
449,Каминский Александр Викторович,1,0,"0,00%",0,0,,
12561,Канаев Алексей Валерианович,0,0,"0,00%",0,0,,
541,Карамышев Виктор Николаевич,2,0,"0,00%",0,0,,
357,Каргинов Сергей Генрихович,7,0,"0,00%",0,0,,
132,Карелин Александр Александрович,1,0,"0,00%",0,0,,
483,Карпов Анатолий Евгеньевич,0,0,"0,00%",0,0,,
31762,Катенев Владимир Иванович,1,0,"0,00%",0,0,,
12244,Клыканов Александр Борисович,1,0,"0,00%",0,0,,
31767,Кобзев Юрий Викторович,7,0,"0,00%",0,0,,
31770,Кобилев Алексей Геннадьевич,1,0,"0,00%",0,0,,
14421,Ковпак Лев Игоревич,2,0,"0,00%",0,0,,
521,Когогина Альфия Гумаровна,1,0,"0,00%",0,0,,
14085,Козловский Александр Николаевич,1,0,"0,00%",0,0,,
620,Колесников Олег Алексеевич,2,0,"0,00%",0,0,,
621,Кононов Владимир Михайлович,3,0,"0,00%",0,0,,
25,Корниенко Алексей Викторович,15,0,"0,00%",0,0,,
13043,Косяненко Евгений Викторович,2,0,"0,00%",0,0,,
13689,Коткин Сергей Николаевич,0,0,"0,00%",0,0,,
12783,Красноштанов Алексей Николаевич,0,0,"0,00%",0,0,,
519,Кривоносов Сергей Владимирович,2,0,"0,00%",0,0,,
31856,Кувшинова Наталья Сергеевна,5,0,"0,00%",0,0,,
12524,Кувычко Анна Александровна,1,0,"0,00%",0,0,,
347,Кулиева Василина Васильевна,11,0,"0,00%",0,0,,
556,Курбанов Ризван Даниялович,21,0,"0,00%",0,0,,
31901,Лавриненко Алексей Федорович,1,0,"0,00%",0,0,,
7310,Лавров Олег Леонидович,9,0,"0,00%",0,0,,
13223,Ламейкин Дмитрий Викторович,3,0,"0,00%",0,0,,
31907,Литовченко Анатолий Григорьевич,3,0,"0,00%",0,0,,
31925,Маграмов Абдулмажид Варисович,0,0,"0,00%",0,0,,
9191,Макиев Зураб Гайозович,0,0,"0,00%",0,0,,
13064,Максимов Александр Александрович,1,0,"0,00%",0,0,,
624,Максимов Василий Юрьевич,2,0,"0,00%",0,0,,
475,Максимова Светлана Викторовна,2,0,"0,00%",0,0,,
15290,Малов Николай Владимирович,2,0,"0,00%",0,0,,
